genre,Popular Animes
Shounen,"[1535, 16498, 5114, 20, 31964, 10620, 20507, 9919, 1735, 6702, 33486, 22199, 269, 23273, 25777, 3588, 21, 121, 23755, 8074]"
Comedy,"[5114, 30276, 19815, 20, 6547, 31964, 4224, 20507, 1735, 6702, 33486, 269, 2001, 18679, 3588, 21, 121, 1, 2167, 30831]"
Drama,"[16498, 5114, 22319, 6547, 1575, 32281, 31240, 22199, 226, 2904, 23273, 25777, 21, 121, 1, 199, 27899, 22535, 2167, 28223]"
School,"[6547, 1575, 31964, 4224, 32281, 33486, 23273, 18679, 11111, 2167, 28171, 28851, 24833, 36456, 11617, 28999, 14741, 13759, 12189, 14813]"
Sports,"[20583, 11771, 28891, 16894, 18507, 32935, 32995, 24415, 263, 10800, 857, 36563, 22265, 32686, 6675, 22135, 14131, 34636, 185, 5258]"
Romance,"[11757, 4224, 32281, 21881, 226, 23273, 2167, 5081, 15809, 10793, 28121, 11617, 4181, 14741, 13759, 14813, 7054, 18897, 853, 431]"
Music,"[23273, 5680, 7791, 877, 15051, 27989, 12531, 1698, 37976, 57, 34240, 9617, 33743, 19111, 18245, 3702, 10321, 37435, 31988, 6802]"
Mystery,"[1535, 16498, 22319, 10620, 25777, 11111, 31043, 6746, 27899, 28223, 5081, 4898, 12189, 2025, 23283, 849, 35760, 2251, 34599, 20787]"
Sci-Fi,"[30276, 9253, 1575, 2904, 2001, 13601, 1, 22535, 30, 10793, 6880, 2025, 849, 34134, 918, 34599, 20787, 35849, 14345, 20785]"
Adventure,"[11757, 5114, 19815, 20, 20507, 21881, 1735, 6702, 22199, 269, 2001, 21, 121, 23755, 1, 199, 30831, 28121, 30503, 29803]"
Fantasy,"[16498, 11757, 5114, 19815, 9919, 21881, 6702, 31240, 22199, 25777, 3588, 21, 121, 23755, 30831, 10087, 15809, 28121, 29803, 17265]"
Military,"[16498, 5114, 1575, 2904, 25777, 121, 26243, 35760, 777, 28907, 38524, 32615, 47, 28927, 22729, 71, 33, 27631, 31637, 467]"
Action,"[16498, 11757, 5114, 30276, 22319, 20, 6547, 1575, 31964, 10620, 20507, 9919, 21881, 1735, 6702, 33486, 22199, 269, 226, 2904]"
Magic,"[5114, 6702, 121, 23755, 30831, 10087, 9756, 29803, 17265, 32937, 11741, 356, 14513, 20785, 1195, 22297, 22043, 4654, 18115, 35062]"
Vampire,"[5081, 26243, 14719, 777, 24439, 270, 2993, 11633, 18277, 3457, 28927, 17074, 7724, 4214, 150, 9260, 31181, 4752, 33988, 34451]"
Supernatural,"[1535, 30276, 22319, 19815, 6547, 10620, 32281, 20507, 9919, 269, 226, 3588, 11111, 31043, 23755, 199, 6746, 8074, 27899, 2167]"
Slice of Life,"[4224, 2167, 9989, 32182, 4181, 14741, 13759, 12189, 14813, 18153, 849, 33352, 5680, 14227, 1689, 30015, 10719, 33206, 6045, 457]"
Demons,"[9919, 15809, 11617, 4898, 38000, 15451, 1482, 1818, 249, 11633, 24703, 37520, 9513, 33506, 33, 23233, 392, 35120, 6707, 4081]"
Historical,"[205, 4898, 2251, 918, 38000, 2966, 457, 249, 37520, 8425, 6594, 6707, 32998, 5341, 45, 31339, 578, 37521, 28977, 9969]"
Mecha,"[1575, 2904, 2001, 30, 10793, 35849, 15583, 227, 9041, 43, 32, 22729, 71, 19163, 237, 2759, 467, 3784, 34561, 16524]"
Super Power,"[16498, 30276, 20, 1575, 31964, 1735, 33486, 269, 2904, 18679, 25777, 21, 10793, 36456, 28999, 813, 2025, 34134, 35760, 223]"
Parody,"[30276, 30831, 32937, 849, 34134, 918, 227, 1887, 4382, 28977, 9969, 8795, 2605, 11785, 2104, 19369, 7769, 5060, 31704, 38472]"
Samurai,"[205, 918, 37520, 45, 31339, 28977, 9969, 1292, 2418, 44, 15417, 67, 34096, 8277, 15335, 5355, 6895, 11241, 166, 7472]"
Seinen,"[30276, 22319, 226, 31043, 27899, 22535, 34134, 20787, 14345, 889, 777, 30240, 457, 31478, 270, 19, 36511, 11633, 47, 43]"
Police,"[1535, 13601, 19, 23281, 43, 467, 323, 235, 801, 21339, 32827, 23309, 2994, 468, 39491, 570, 33337, 31630, 7, 1566]"
Psychological,"[1535, 22319, 10620, 31240, 226, 13601, 31043, 27899, 22535, 28223, 30, 9756, 23283, 14345, 934, 16592, 13125, 227, 37779, 34933]"
Space,"[1, 27655, 5, 20057, 19775, 820, 329, 2581, 22687, 4565, 16668, 31251, 93, 12431, 3572, 256, 90, 3927, 400, 32681]"
Kids,"[527, 552, 1313, 528, 20159, 1117, 1118, 1564, 1119, 2961, 1565, 1526, 1120, 1122, 19291, 2847, 1121, 9107, 1709, 1030]"
Shoujo Ai,"[10495, 34382, 6205, 19429, 20047, 3342, 5030, 12403, 37786, 855, 98, 34383, 35241, 30385, 30279, 37993, 26165, 28817, 37722, 28883]"
Ecchi,"[19815, 18679, 23755, 8074, 28171, 11617, 32282, 1195, 10719, 30240, 15451, 30296, 2993, 25157, 11597, 8841, 35788, 24703, 29786, 9041]"
Josei,"[10162, 10800, 12531, 1698, 15085, 16, 28735, 5525, 8129, 31229, 16035, 14397, 6895, 322, 149, 33095, 5690, 4477, 16890, 1142]"
Shoujo,"[7054, 853, 14227, 6045, 25013, 21995, 10408, 3457, 14289, 32729, 28297, 2034, 4081, 120, 30123, 14713, 877, 232, 9656, 4752]"
Horror,"[22319, 226, 11111, 8074, 27899, 22535, 6880, 777, 934, 13125, 37779, 28623, 270, 19, 36511, 47, 7724, 11499, 33, 35120]"
Shounen Ai,"[3092, 21105, 9926, 4814, 149, 11123, 30346, 243, 39533, 31680, 7058, 25649, 8449, 33654, 11135, 33605, 3656, 850, 33417, 553]"
Cars,"[6675, 185, 186, 18, 187, 15059, 22507, 822, 821, 5228, 2608, 19613, 388, 6162, 917, 30952, 1445, 377, 31883, 2705]"
Martial Arts,"[20, 1735, 813, 223, 30694, 392, 6594, 34566, 9367, 10396, 28755, 16870, 6033, 1559, 44, 10213, 29758, 9936, 11761, 13667]"
Game,"[11757, 19815, 21881, 28223, 29803, 17265, 11759, 34933, 35073, 33674, 23321, 36474, 31765, 37675, 31646, 31404, 36475, 10800, 36038, 31953]"
Thriller,"[1535, 9253, 10620, 31240, 11111, 28223, 9756, 23283, 934, 37779, 19, 30484, 5630, 7724, 1889, 1943, 10863, 2593, 6114, 11981]"
Dementia,"[30, 934, 227, 32, 339, 35120, 1943, 437, 323, 10721, 36027, 35330, 33010, 369, 885, 19383, 35842, 601, 441, 22537]"
Harem,"[11617, 18897, 853, 1195, 15583, 10719, 15451, 2993, 25157, 8841, 8525, 2476, 28677, 24703, 9041, 18277, 30307, 33487, 27787, 30544]"
,"[40080, 35683, 33187, 30862, 28647, 31832, 35623]"
Hentai,"[1639, 5391, 4866, 320, 7748, 741, 7411, 22429, 4473, 2432, 651, 11827, 221, 972, 25345, 5762, 724, 13221, 3220, 21521]"
Yaoi,"[1639, 8634, 5391, 4866, 3375, 746, 2148, 741, 5774, 3210, 719, 5902, 5784, 5719, 747, 724, 2238, 7110, 37585, 9761]"
